date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,roe,dividend_payout_ratio,repo,total_var
2008-12-31,2008,4,bny,237512.0,25264.0,209423.0,,,,0.67,5.02,1154.17,1372.0,14.7
2008-12-31,2008,4,citigroup,1938470.0,70966.0,1794448.0,,,,-1.55,-36.48,,205293.0,295.0
2008-12-31,2008,4,jpmorgan,2175052.0,134945.0,2008168.0,,,,0.2,3.67,593.2,192546.0,231.94832968195405
2008-12-31,2008,4,statestreet,173631.0,10891.0,160857.0,,,,1.15,16.12,43.59,12236.0,5.13
2008-12-31,2008,4,wellsfargo,1309639.0,67752.0,1207323.0,,,,0.29,4.12,,62203.0,19.0
2008-12-26,2008,4,goldmansachs,1112225.0,46571.0,1048069.0,,,,,,,260421.0,
2008-11-30,2008,4,morganstanley,659035.0,31676.0,607499.0,,,,0.15,3.96,,107618.0,
2008-11-28,2008,4,goldmansachs,884547.0,47898.0,819051.0,,,,0.23,4.66,,62883.0,
2008-09-30,2008,3,bankofamerica,1831177.0,136888.0,1670138.0,,,,0.36,3.67,424.82,225729.0,94.6
2008-09-30,2008,3,bny,267510.0,27513.0,239997.0,,,,0.92,6.55,91.42,6467.0,7.6
2008-09-30,2008,3,citigroup,2050131.0,98638.0,1920607.0,,,,-0.96,-19.7,,250419.0,240.0
2008-09-30,2008,3,jpmorgan,2251469.0,137691.0,2105626.0,,,,0.39,5.45,459.75,224075.0,248.92015868307263
2008-09-30,2008,3,statestreet,285564.0,13064.0,272500.0,,,,0.84,14.63,21.8,19258.0,5.13
2008-09-30,2008,3,wellsfargo,622361.0,46332.0,575102.0,,,,1.2,14.46,68.91,,25.0
2008-08-31,2008,3,morganstanley,987403.0,34665.0,951638.0,,,,0.01,0.37,21.18,142036.0,
2008-08-29,2008,3,goldmansachs,1081773.0,42499.0,1032553.0,,,,0.72,19.09,19.14,110204.0,
2008-06-30,2008,2,bankofamerica,1716875.0,138540.0,1554184.0,,,,0.53,5.87,89.57,238123.0,87.5
2008-06-30,2008,2,bny,201225.0,28569.0,172656.0,,,,1.47,10.84,91.42,2488.0,10.9
